"","x"
"",1
"Accelerator Defective",0
"Aggressive Driving/Road Rage",2
"Alcohol Involvement",5
"Animals Action",2
"Backing Unsafely",5
"Brakes Defective",0
"Cell Phone (hand-held)",0
"Driver Inattention/Distraction",52
"Driver Inexperience",5
"Drugs (Illegal)",0
"Failure to Keep Right",0
"Failure to Yield Right-of-Way",25
"Fatigued/Drowsy",11
"Fell Asleep",0
"Following Too Closely",1
"Glare",4
"Headlights Defective",0
"Illness",1
"Lane Marking Improper/Inadequate",0
"Lost Consciousness",3
"Obstruction/Debris",0
"Other Electronic Device",0
"Other Lighting Defects",0
"Other Vehicular",3
"Outside Car Distraction",4
"Oversized Vehicle",0
"Passenger Distraction",2
"Passing or Lane Usage Improper",0
"Pavement Defective",0
"Pavement Slippery",13
"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",0
"Physical Disability",11
"Prescription Medication",5
"Reaction to Other Uninvolved Vehicle",1
"Shoulders Defective/Improper",0
"Steering Failure",2
"Tire Failure/Inadequate",0
"Tow Hitch Defective",0
"Traffic Control Device Improper/Non-Working",0
"Traffic Control Disregarded",11
"Turning Improperly",2
"Unsafe Lane Changing",0
"Unsafe Speed",0
"Unspecified",133
"View Obstructed/Limited",0
"Windshield Inadequate",0
