"","x"
"",2
"Accelerator Defective",0
"Aggressive Driving/Road Rage",7
"Alcohol Involvement",12
"Animals Action",0
"Backing Unsafely",32
"Brakes Defective",5
"Cell Phone (hand-held)",0
"Driver Inattention/Distraction",143
"Driver Inexperience",16
"Drugs (Illegal)",1
"Failure to Keep Right",2
"Failure to Yield Right-of-Way",68
"Fatigued/Drowsy",41
"Fell Asleep",2
"Following Too Closely",3
"Glare",15
"Headlights Defective",0
"Illness",2
"Lane Marking Improper/Inadequate",1
"Lost Consciousness",7
"Obstruction/Debris",3
"Other Electronic Device",2
"Other Lighting Defects",0
"Other Vehicular",36
"Outside Car Distraction",12
"Oversized Vehicle",2
"Passenger Distraction",25
"Passing or Lane Usage Improper",0
"Pavement Defective",1
"Pavement Slippery",45
"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",0
"Physical Disability",21
"Prescription Medication",14
"Reaction to Other Uninvolved Vehicle",1
"Shoulders Defective/Improper",1
"Steering Failure",0
"Tire Failure/Inadequate",0
"Tow Hitch Defective",0
"Traffic Control Device Improper/Non-Working",1
"Traffic Control Disregarded",24
"Turning Improperly",11
"Unsafe Lane Changing",1
"Unsafe Speed",3
"Unspecified",537
"View Obstructed/Limited",3
"Windshield Inadequate",1
