"","x"
"",3
"Accelerator Defective",5
"Aggressive Driving/Road Rage",18
"Alcohol Involvement",23
"Animals Action",0
"Backing Unsafely",45
"Brakes Defective",16
"Cell Phone (hand-held)",0
"Driver Inattention/Distraction",296
"Driver Inexperience",42
"Drugs (Illegal)",3
"Failure to Keep Right",5
"Failure to Yield Right-of-Way",259
"Fatigued/Drowsy",120
"Fell Asleep",8
"Following Too Closely",9
"Glare",20
"Headlights Defective",2
"Illness",4
"Lane Marking Improper/Inadequate",0
"Lost Consciousness",36
"Obstruction/Debris",0
"Other Electronic Device",6
"Other Lighting Defects",1
"Other Vehicular",40
"Outside Car Distraction",27
"Oversized Vehicle",4
"Passenger Distraction",56
"Passing or Lane Usage Improper",2
"Pavement Defective",5
"Pavement Slippery",63
"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",0
"Physical Disability",86
"Prescription Medication",37
"Reaction to Other Uninvolved Vehicle",1
"Shoulders Defective/Improper",0
"Steering Failure",2
"Tire Failure/Inadequate",2
"Tow Hitch Defective",0
"Traffic Control Device Improper/Non-Working",4
"Traffic Control Disregarded",64
"Turning Improperly",26
"Unsafe Lane Changing",2
"Unsafe Speed",2
"Unspecified",1317
"View Obstructed/Limited",14
"Windshield Inadequate",0
