BoroCD,Name,Pop2010
201,"Melrose, Mott Haven, Port Morris",91497
202,"Hunts Point, Longwood",52246
203,"Morrisania, Crotona Park East",79762
204,"Highbridge, Concourse Village",146441
205,"University Hts., Fordham, Mt. Hope",128200
206,"East Tremont, Belmont",83268
207,"Bedford Park, Norwood, Fordham",139286
208,"Riverdale, Kingsbridge, Marble Hill",101731
209,"Soundview, Parkchester",172298
210,"Throgs Nk., Co-op City, Pelham Bay",120392
211,"Pelham Pkwy, Morris Park, Laconia",113232
212,"Wakefield, Williamsbridge",152344
301,"Williamsburg, Greenpoint",173083
302,"Brooklyn Heights, Fort Greene",99617
303,Bedford Stuyvesant,152985
304,Bushwick,112634
305,"East New York, Starrett City",182896
306,"Park Slope, Carroll Gardens",104709
307,"Sunset Park, Windsor Terrace",126230
308,Crown Heights North,96317
309,"Crown Heights South, Wingate",98429
310,"Bay Ridge, Dyker Heights",124491
311,"Bensonhurst, Bath Beach ",181981
312,"Borough Park, Ocean Parkway",191382
313,"Coney Island, Brighton Beach",104278
314,"Flatbush, Midwood",160664
315,"Sheepshead Bay, Gerritsen Beach",159650
316,"Brownsville, Ocean Hill",86468
317,"East Flatbush, Rugby, Farragut",155252
318,"Canarsie, Flatlands",193543
101,"Battery Park City, Tribeca",60978
102,"Greenwich Village, Soho",90016
103,"Lower East Side, Chinatown",163277
104,"Chelsea, Clinton",103245
105,Midtown Business District,51673
106,"Stuyvesant Town, Turtle Bay",142745
107,"West Side, Upper West Side",209084
108,Upper East Side,219920
109,"Manhattanville, Hamilton Heights",110193
110,Central Harlem,115723
111,East Harlem,120511
112,"Washington Heights, Inwood",190020
401,"Astoria, Long Island City",191105
402,"Sunnyside, Woodside",113200
403,"Jackson Heights, North Corona",171576
404,"Elmhurst, South Corona",172598
405,"Ridgewood, Glendale, Maspeth",169190
406,"Forest Hills, Rego Park",113257
407,"Flushing, Bay Terrace",247354
408,"Fresh Meadows, Briarwood",151107
409,"Woodhaven, Richmond Hill",143317
410,"Ozone Park, Howard Beach",122396
411,"Bayside, Douglaston, Little Neck",116431
412,"Jamaica, St. Albans, Hollis",225919
413,"Queens Village, Rosedale",188593
414,"The Rockaways, Broad Channel",114978
501,"Stapleton, Port Richmond",175756
502,"New Springville, South Beach",132003
503,"Tottenville, Woodrow, Great Kills",160209
164,Central Park,25
226,Van Cortlandt Park,0
227,Bronx Park,1351
228,Pelham Bay Park,432
355,Prospect Park,76
356,Brooklyn Gateway National Recreational Area,15
480,LaGuardia Airport,0
481,Flushing Meadow/Corona Park,56
482,Forest Park,691
483,JFK International Airport,0
484,Queens Gateway National Recreational Area,45
595,Staten Island Gateway National Recreational Area,762
