"","x"
"",2
"Accelerator Defective",0
"Aggressive Driving/Road Rage",7
"Alcohol Involvement",5
"Animals Action",0
"Backing Unsafely",30
"Brakes Defective",3
"Cell Phone (hand-held)",1
"Driver Inattention/Distraction",274
"Driver Inexperience",16
"Drugs (Illegal)",1
"Failure to Keep Right",1
"Failure to Yield Right-of-Way",163
"Fatigued/Drowsy",68
"Fell Asleep",3
"Following Too Closely",4
"Glare",7
"Headlights Defective",1
"Illness",16
"Lane Marking Improper/Inadequate",0
"Lost Consciousness",25
"Obstruction/Debris",1
"Other Electronic Device",7
"Other Lighting Defects",0
"Other Vehicular",129
"Outside Car Distraction",17
"Oversized Vehicle",8
"Passenger Distraction",53
"Passing or Lane Usage Improper",1
"Pavement Defective",0
"Pavement Slippery",33
"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",1
"Physical Disability",29
"Prescription Medication",21
"Reaction to Other Uninvolved Vehicle",2
"Shoulders Defective/Improper",0
"Steering Failure",2
"Tire Failure/Inadequate",0
"Tow Hitch Defective",0
"Traffic Control Device Improper/Non-Working",2
"Traffic Control Disregarded",28
"Turning Improperly",23
"Unsafe Lane Changing",2
"Unsafe Speed",0
"Unspecified",489
"View Obstructed/Limited",10
"Windshield Inadequate",0
