Borough,tractID,pop2010,popDens2010
Bronx,000100,"11,091",
Bronx,000200,"4,334",28.4
Bronx,000400,"5,503",38.5
Bronx,001600,"5,643",24.4
Bronx,001900,"1,917",47.1
Bronx,002000,"8,731",4.7
Bronx,002300,"4,933",89.3
Bronx,002400,4,191.0
Bronx,002500,"5,491",0.0
Bronx,002701,"3,113",174.1
Bronx,002702,"4,475",151.6
Bronx,002800,"5,586",115.1
Bronx,003100,"1,597",54.1
Bronx,003300,"3,413",41.4
Bronx,003500,"3,761",91.6
Bronx,003700,245,107.2
Bronx,003800,"1,264",5.9
Bronx,003900,"6,475",80.7
Bronx,004001,"1,420",121.2
Bronx,004100,"6,127",46.7
Bronx,004200,"7,143",134.2
Bronx,004300,"5,056",59.8
Bronx,004400,"4,797",90.8
Bronx,004600,"1,555",73.7
Bronx,004800,"3,883",46.5
Bronx,005001,"4,767",105.9
Bronx,005002,"5,823",197.1
Bronx,005100,"5,810",206.9
Bronx,005200,"2,031",48.1
Bronx,005300,"4,669",45.0
Bronx,005400,"5,853",281.3
Bronx,005600,"2,711",118.6
Bronx,005902,"2,582",80.6
Bronx,006000,"1,129",148.6
Bronx,006100,"3,713",14.0
Bronx,006200,"6,585",62.0
Bronx,006300,"5,280",138.1
Bronx,006400,"3,967",20.8
Bronx,006500,"5,337",97.7
Bronx,006700,"6,984",82.3
Bronx,006800,"2,897",133.1
Bronx,006900,"7,564",75.0
Bronx,007000,"4,584",162.8
Bronx,007100,"1,907",90.5
Bronx,007200,"5,432",29.2
Bronx,007300,"3,893",103.4
Bronx,007400,"3,710",112.4
Bronx,007500,"4,869",80.2
Bronx,007600,"5,190",86.5
Bronx,007700,"1,927",96.7
Bronx,007800,"6,418",69.1
Bronx,007900,"6,733",84.5
Bronx,008300,"6,155",137.7
Bronx,008400,"2,374",116.4
Bronx,008500,"5,457",61.3
Bronx,008600,"4,176",121.6
Bronx,008700,"5,466",90.1
Bronx,008900,"3,177",103.6
Bronx,009000,"3,667",117.4
Bronx,009200,"5,017",15.3
Bronx,009300,"6,356",65.8
Bronx,009600,"2,594",11.2
Bronx,009800,"5,038",15.0
Bronx,011000,151,39.5
Bronx,011502,"4,340",0.3
Bronx,011700,"1,585",51.3
Bronx,011800,"5,089",4.7
Bronx,011900,"5,698",19.0
Bronx,012101,"3,090",139.2
Bronx,012102,"1,631",107.5
Bronx,012300,"4,152",130.0
Bronx,012500,"3,905",57.7
Bronx,012701,"2,253",93.6
Bronx,012901,"4,015",84.7
Bronx,013000,"1,032",103.9
Bronx,013100,"5,103",36.0
Bronx,013200,"5,890",88.9
Bronx,013300,"6,384",39.5
Bronx,013500,"3,583",160.3
Bronx,013800,"3,042",86.6
Bronx,014100,"3,437",16.2
Bronx,014300,"1,003",78.5
Bronx,014400,"5,880",31.3
Bronx,014500,"5,816",61.5
Bronx,014701,"6,461",129.7
Bronx,014702,"5,110",188.2
Bronx,014900,"4,591",177.8
Bronx,015100,"5,409",119.7
Bronx,015200,"2,341",104.5
Bronx,015300,"4,031",31.2
Bronx,015500,"3,005",69.9
Bronx,015700,"3,580",102.4
Bronx,015800,"1,206",45.3
Bronx,015900,"2,164",29.9
Bronx,016000,"3,767",84.7
Bronx,016100,"4,380",30.8
Bronx,016200,"1,769",73.5
Bronx,016300,0,39.6
Bronx,016400,"1,141",0.0
Bronx,016500,"1,077",28.1
Bronx,016600,"2,166",23.2
Bronx,016700,"2,047",29.0
Bronx,016900,"1,663",39.8
Bronx,017100,0,72.4
Bronx,017300,"5,987",0.0
Bronx,017500,"6,911",146.6
Bronx,017701,"4,294",184.5
Bronx,017702,"4,805",163.0
Bronx,017901,"4,677",138.2
Bronx,017902,"3,587",246.7
Bronx,018101,"3,300",187.2
Bronx,018102,"5,555",173.0
Bronx,018301,"4,525",233.2
Bronx,018302,"3,647",269.8
Bronx,018400,"3,855",131.4
Bronx,018500,"7,466",35.0
Bronx,018900,"7,752",73.3
Bronx,019300,"5,461",89.7
Bronx,019400,"1,903",92.5
Bronx,019500,"7,756",8.8
Bronx,019700,"7,501",142.8
Bronx,019900,"8,154",205.1
Bronx,020000,"4,878",186.0
Bronx,020100,"4,013",56.3
Bronx,020200,"2,155",56.9
Bronx,020400,"2,976",69.9
Bronx,020501,"6,996",88.9
Bronx,020502,"1,764",103.4
Bronx,020601,"3,050",68.6
Bronx,020900,"4,361",82.1
Bronx,021001,"8,521",133.2
Bronx,021002,"6,839",179.2
Bronx,021100,"5,565",160.2
Bronx,021200,"5,267",148.1
Bronx,021301,"1,201",212.4
Bronx,021302,"5,415",72.5
Bronx,021501,"3,506",132.8
Bronx,021502,"6,051",158.1
Bronx,021601,"4,206",157.5
Bronx,021602,"5,769",103.7
Bronx,021700,"5,334",140.7
Bronx,021800,"6,499",134.7
Bronx,021900,"1,367",82.0
Bronx,022000,"1,487",39.1
Bronx,022101,"3,849",25.9
Bronx,022102,"5,488",227.2
Bronx,022200,"3,425",279.3
Bronx,022300,"5,047",62.6
Bronx,022401,"2,708",223.1
Bronx,022403,"3,188",129.1
Bronx,022404,"4,509",103.3
Bronx,022500,"7,698",196.8
Bronx,022701,"5,196",173.7
